index;PEOE_VSA1;PEOE_VSA2;PEOE_VSA3;PEOE_VSA4;PEOE_VSA5;PEOE_VSA6;PEOE_VSA7;PEOE_VSA8;PEOE_VSA9;PEOE_VSA10;PEOE_VSA11;PEOE_VSA12;PEOE_VSA13;VSA_EState1;VSA_EState2;VSA_EState3;VSA_EState4;VSA_EState5;VSA_EState6;VSA_EState7;VSA_EState8;VSA_EState9;SlogP_VSA1;SlogP_VSA2;SlogP_VSA3;SlogP_VSA4;SlogP_VSA5;SlogP_VSA6;SlogP_VSA7;SlogP_VSA8;SlogP_VSA9;SlogP_VSA10;SlogP_VSA11;SMR_VSA1;SMR_VSA2;SMR_VSA3;SMR_VSA4;SMR_VSA5;SMR_VSA6;SMR_VSA7;SMR_VSA8;SMR_VSA9
count;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0;1360.0
mean;-5.224578939412501e-17;0.0;6.008265780324376e-17;7.836868409118753e-17;2.6122894697062506e-18;-7.836868409118753e-17;-7.575639462148127e-17;-7.445024988662814e-17;1.7763568394002506e-16;0.0;-2.873518416676876e-17;2.0898315757650005e-17;1.3061447348531253e-17;4.9633499924418765e-17;8.620555250030627e-17;0.0;7.836868409118752e-18;-7.836868409118752e-18;2.0898315757650005e-17;1.0449157878825003e-17;5.877651306839064e-17;-1.2408374981104691e-17;3.559244402474767e-17;1.1232844719736877e-16;-3.918434204559376e-18;-6.400109200780314e-17;-5.224578939412501e-18;-3.134747363647501e-17;-3.134747363647501e-17;-2.6122894697062506e-17;0.0;4.179663151530001e-17;-2.7429039431915633e-17;8.294019066317346e-17;3.2653618371328135e-17;1.1755302613678128e-17;3.2653618371328133e-18;-1.2016531560648752e-16;-8.620555250030627e-17;-1.3583905242472505e-16;0.0;1.1755302613678128e-16
std;1.0003678499296753;1.0003678499296753;1.000367849929675;1.0003678499296753;1.0003678499296753;1.0003678499296753;1.0003678499296753;1.0003678499296753;1.0003678499296753;1.000367849929675;1.0003678499296753;1.0003678499296755;1.0003678499296753;1.0003678499296753;1.0003678499296753;1.0003678499296753;1.0003678499296753;1.0003678499296753;1.0003678499296753;1.0003678499296753;1.0003678499296753;1.0003678499296753;1.0003678499296755;1.0003678499296753;1.0003678499296753;1.0003678499296753;1.0003678499296753;1.0003678499296755;1.0003678499296753;1.0003678499296753;0.0;1.0003678499296753;1.0003678499296753;1.0003678499296755;1.000367849929675;1.0003678499296753;1.0003678499296753;1.0003678499296753;1.0003678499296755;1.0003678499296753;0.0;1.0003678499296753
min;-0.9354891704993267;-0.7274224778780465;-0.6373902316041112;-0.39754612212021034;-0.28429445592515057;-1.0260296385683187;-1.1305615453853264;-0.8578879765717831;-0.8974340425225364;-0.6539847432693462;-0.46900103842030155;-0.42373307341375016;-0.4296293141687807;-0.5693153284900856;-1.99101532391166;-1.3586292917617335;-2.8121972312661727;-9.902339058626062;-4.591837426894147;-9.167194401203286;-3.0298971407249047;-6.8074629974361125;-0.5417697288944737;-1.130722647576233;-0.8946402610622495;-0.5648512528080757;-0.9062165484568704;-1.006842994809341;-0.33702217651875643;-0.36101077937563847;0.0;-0.4798494730928492;-0.517788878764786;-0.884664978837126;-0.15242176901464985;-0.5582165940220544;-0.43934465644526904;-1.0047976424043061;-0.7875027898838165;-1.0704344482049915;0.0;-0.568695870804267
25%;-0.4489488322051823;-0.7274224778780465;-0.6373902316041112;-0.39754612212021034;-0.28429445592515057;-1.0260296385683187;-0.81774092544087;-0.8578879765717831;-0.8974340425225364;-0.6468263880797497;-0.46900103842030155;-0.42373307341375016;-0.4296293141687807;-0.490632248272502;-0.8613193395589533;-0.6208851612270374;-0.39807820938782806;0.20396006261254607;-0.7868670201294844;-0.17394292219129992;-0.7489143424954151;0.02809433114005642;-0.5417697288944737;-0.6372270763557298;-0.8946402610622495;-0.5648512528080757;-0.9062165484568704;-1.006842994809341;-0.33702217651875643;-0.36101077937563847;0.0;-0.4798494730928492;-0.517788878764786;-0.6451060711260982;-0.15242176901464985;-0.5582165940220544;-0.43934465644526904;-0.7725052069982076;-0.7875027898838165;-1.0704344482049915;0.0;-0.568695870804267
50%;-0.3465634318379039;-0.7274224778780465;-0.6373902316041112;-0.39754612212021034;-0.28429445592515057;-0.24916957694113534;-0.0809751658566544;-0.30439927059856925;-0.27852712625041537;-0.6468263880797497;-0.46900103842030155;-0.42373307341375016;-0.4296293141687807;-0.38693955885853104;-0.07084212606265561;-0.37860378217733437;-0.39807820938782806;0.26213368214239763;-0.28457255576594553;-0.17394292219129992;-0.2618178407120273;0.02809433114005642;-0.5417697288944737;-0.14265331545733304;-0.3010553063234902;-0.5648512528080757;-0.29258952042925024;-0.08193260739325628;-0.33702217651875643;-0.36101077937563847;0.0;-0.4798494730928492;-0.517788878764786;-0.26484409137982684;-0.15242176901464985;-0.5582165940220544;-0.43934465644526904;-0.27187413799417454;-0.24305249070879636;-0.046314978008935095;0.0;-0.568695870804267
75%;0.24236230682351884;0.17011322661503936;0.23934545632823634;-0.09749691255201053;-0.28429445592515057;0.5396805530101941;0.5109923126738437;0.24908943537464456;0.47320140882829587;0.4804804230281583;-0.46900103842030155;-0.42373307341375016;-0.4296293141687807;-0.03147940488282807;0.4790004570435543;0.26752870960614;0.22178790268852455;0.2879429391694656;0.424718350069877;0.2948481643732608;0.4467537820660546;0.02809433114005642;0.05319712097187551;0.40299890089573026;0.46628405155287567;0.2982660256591123;0.4415698681649065;0.5185233851638281;-0.33702217651875643;-0.36101077937563847;0.0;0.11975311774460105;0.6531436285937384;0.18036816112747361;-0.15242176901464985;0.28836808977752976;-0.43934465644526904;0.4330591608036948;0.3121849720679699;0.6052232262482352;0.0;0.37498172463668566
max;14.344173286563963;8.72292251718577;5.921638668214958;6.738960405396199;12.005656102532138;4.927419891406651;7.30685169175396;10.412959559641012;4.976603882683619;16.29400164731478;7.811439971287244;15.151254027004441;9.083458578413726;6.766257918756079;12.430498575267904;17.037291271325547;17.10978031206027;0.8173829487599867;4.594826757703166;5.097208284154178;6.614941536764002;5.23789844127684;9.766224299299553;12.880092720069351;8.692267502083041;9.792556088798177;5.400480145312148;5.482960838405339;13.366377252353075;10.361997590856806;0.0;6.573039558676675;5.3368736580278355;6.094000575088169;18.26587015230999;8.880380845727208;6.629758214587453;6.979148570217438;7.267194082901007;5.661312464344286;0.0;6.0082709334871085
median;-0.3465634318379039;-0.7274224778780465;-0.6373902316041112;-0.39754612212021034;-0.28429445592515057;-0.24916957694113534;-0.0809751658566544;-0.30439927059856925;-0.27852712625041537;-0.6468263880797497;-0.46900103842030155;-0.42373307341375016;-0.4296293141687807;-0.38693955885853104;-0.07084212606265561;-0.37860378217733437;-0.39807820938782806;0.26213368214239763;-0.28457255576594553;-0.17394292219129992;-0.2618178407120273;0.02809433114005642;-0.5417697288944737;-0.14265331545733304;-0.3010553063234902;-0.5648512528080757;-0.29258952042925024;-0.08193260739325628;-0.33702217651875643;-0.36101077937563847;0.0;-0.4798494730928492;-0.517788878764786;-0.26484409137982684;-0.15242176901464985;-0.5582165940220544;-0.43934465644526904;-0.27187413799417454;-0.24305249070879636;-0.046314978008935095;0.0;-0.568695870804267
